765
10
1867249
1440499
 0 1 1 50 68 8 (D 0,1,1) (S 1,2,2) (S None,2,3) (S None,9,3) (S 3,4,4) (S None,13,4) (S None,13,12) (D 0,1,1) 
 0 1 2 50 56 8 (D 0,1,1) (S 2,3,3) (S 6,9,9) (S None,4,9) (S 8,13,13) (S 47,12,11) (S 47,12,11) (D 0,1,1) 
 0 1 3 49 59 8 (D 0,1,1) (S 21,30,30) (S 23,1,7) (S 30,8,12) (S 46,11,6) (S 22,31,31) (S 54,5,31) (D 0,1,1) 
 0 1 4 50 89 10 (D 0,1,1) (S 27,1,31) (S 38,5,6) (S 45,5,10) (S 9,14,14) (S 48,10,5) (S None,29,30) (S 20,29,29) (S 13,18,18) (D 0,1,1) 
 0 1 5 50 104 8 (D 0,1,1) (S 4,6,6) (S 19,28,28) (S None,26,28) (S 39,7,6) (S 49,25,28) (S 16,24,24) (D 0,1,1) 
 0 1 6 49 126 8 (D 0,1,1) (S 53,6,11) (S 42,12,18) (S None,21,19) (S 29,20,22) (S 51,21,18) (S 33,21,22) (D 0,1,1) 
 0 1 7 50 59 7 (D 0,1,1) (S 18,27,27) (S 17,26,26) (S 15,23,23) (S 25,23,25) (S 7,10,10) (D 0,1,1) 
 0 1 8 48 118 8 (D 0,1,1) (S 32,8,9) (S 42,12,18) (S 14,19,19) (S 40,18,19) (S 40,18,19) (S 55,19,22) (D 0,1,1) 
 0 1 9 41 62 7 (D 0,1,1) (S 24,10,11) (S None,14,15) (S 11,16,16) (S 12,17,17) (S 10,15,15) (D 0,1,1) 
 0 1 10 14 24 3 (D 0,1,1) (S 5,7,7) (D 0,1,1) 
